name,company,type,fee
PGIM保德信中小型股基金-TISA,保德信投信,股票型,0.75%
PGIM保德信高成長基金-TISA,保德信投信,股票型,0.75%
PGIM保德信新世紀基金-R,保德信投信,股票型,1.14%
PGIM保德信金滿意基金-R,保德信投信,股票型,1.14%
PGIM保德信金平衡基金-R,保德信投信,平衡型,1.11%
PGIM保德信策略成長ETF組合基金-R,保德信投信,股票型,1.14%
元大台灣卓越50ETF連結基金-TISA,元大投信,股票型,0.035%~0.095%
元大台灣高股息ETF連結基金-TISA,元大投信,股票型,0.15%~0.22%
元大台灣高股息優質龍頭基金-R,元大投信,股票型,0.89%~1.11%
元大台灣加權股價指數基金-R,元大投信,股票型,0.6%~0.7%
元大全球ETF穩健組合基金-R,元大投信,資產配置型,1.04%
統一大滿貫基金-TISA,統一投信,股票型,0.75%
統一台灣動力基金-TISA,統一投信,股票型,0.65%
兆豐國民基金-TISA,兆豐投信,股票型,0.67%
兆豐萬全基金-R,兆豐投信,平衡型,1.07%
安聯四季成長組合基金-TISA,安聯投信,資產配置型,0.75%
安聯四季回報債券組合基金-R,安聯投信,債券型,0.92%
安聯四季雙收入息組合基金-R,安聯投信,債券型,1.14%
安聯全球股票多元投資風格基金-R,安聯投信,股票型,1.22%
國泰小龍基金-R,國泰投信,股票型,1.12%~1.15%
國泰台灣高股息基金-TISA,國泰投信,股票型,0.71%
國泰全球多重收益平衡基金-R,國泰投信,資產配置型,1.25%
國泰全球積極組合基金-R,國泰投信,資產配置型,1.03%
國泰泰享退2029目標日期組合基金-R,國泰投信,資產配置型,0.58%~0.67%
國泰泰享退2039目標日期組合基金-R,國泰投信,資產配置型,0.58%~0.85%
國泰泰享退2049目標日期組合基金-TISA,國泰投信,資產配置型,0.53%~0.73%
國泰豐益債券組合基金-R,國泰投信,債券型,1.04%
富邦全球投資等級債券基金-R,富邦投信,債券型,0.75%
富邦精銳中小基金-TISA,富邦投信,股票型,0.75%
滙豐龍鳳基金-R,滙豐投信,股票型,0.92%
群益全民安穩樂退組合基金-R,群益投信,資產配置型,0.74%
群益全民成長樂退組合基金-R,群益投信,資產配置型,0.94%
群益全民成長樂退組合基金-TISA,群益投信,資產配置型,0.64%
群益全民優質樂退組合基金-R,群益投信,資產配置型,0.84%
群益馬拉松基金-TISA,群益投信,股票型,0.64%
