題目,答案
根據國泰世華銀行的《2023臺灣全民財務健康關鍵報告》，臺灣民眾的財務健康平均分數是多少？,59.2分
TISA帳戶的全名是什麼？,Taiwan Individual Savings Account（台灣個人投資儲蓄帳戶）
TISA級別基金的最低申購門檻是多少？,"每月新台幣1,000元"
TISA級別基金需要連續扣款多久才能享有完整優惠？,連續扣款成功24個月
TISA級別基金的經理費率規定上限是多少？,低於1%（含）以下
TISA適格基金需要成立幾年以上才符合資格？,基金已成立滿三年
TISA適格基金的規模需要達到多少以上？,新台幣5億元以上
TISA級別基金是否配息？,不配息，收益會自動滾入再投資
負責建置TISA帳戶機制的機構是哪一家？,臺灣集中保管結算所（集保結算所）
TISA制度正式上路的時間是？,2025年7月1日
股票型基金要進入TISA適格基金清單，夏普比率需要達到多少以上？,大於0.2
TISA基金委員會的主要職責是什麼？,審定TISA級別基金篩選標準及發行銷售規則
TISA制度在我國退休金體系中屬於第幾支柱？,第三支柱（自願性個人退休準備）
TISA級別基金的計價幣別規定是什麼？,僅限新台幣計價
投資人可以透過哪個平台查詢TISA帳戶資訊？,TISA帳戶查詢平台或集保e手掌握App
TISA級別基金的申購方式僅限制為什麼？,僅限定期定額申購
債券型基金進入TISA適格基金清單的Sharpe Ratio條件是什麼？,在同類型基金中排名前50%
TISA基金需要獲得的評等條件是什麼？,晨星3星以上或理柏保本評等3級以上
TISA級別基金對於申購手續費的規定是什麼？,銷售機構不得向投資人收取申購手續費
TISA適格基金的類別包含哪些？,股票型、債券型、資產配置型
根據2025年8月統計，申購金額最高的TISA基金是哪一檔？,元大台灣50連結基金
TISA制度上路後，8月的總申購額相比7月成長了多少倍？,約3.6倍（從2953萬成長到10600萬）
目前114年上半年適格發行TISA級別基金共有多少檔？,155檔基金
TISA級別基金中，股票型基金佔了多少檔？,約113檔
TISA級別基金中，債券型基金佔了多少檔？,約17檔
TISA級別基金中，資產配置型基金佔了多少檔？,約25檔
目前有幾家平台可以購買TISA級別基金？,主要有4家：基富通證券、好好證券、鉅亨投顧、中租投顧
元大台灣50連結基金TISA級別在8月的申購金額是多少？,6738萬元
TISA級別基金在8月的總規模達到多少？,突破1.4億元
首批TISA級別基金推出了多少檔？,16檔基金
TISA級別基金的單次申購最高金額限制通常是多少？,1萬元或10萬元（依各基金規定）
R級別基金的最低申購門檻是多少？,"新台幣3,000元"
如果投資人未滿24個月即贖回TISA級別基金，會有什麼限制？,6個月內不得重新申購同檔基金
TISA級別基金的年化風險係數限制是多少？,股票型及平衡型需小於25%
TISA基金的Sortino Ratio條件是什麼？,股票型及平衡型需大於0.2
TISA適格基金的配息選擇有哪些？,可選擇月配、季配、半年配等多種配息型基金
TISA適格基金是否可以多幣別投資？,可以，除新台幣外，還能投資美元、歐元等多幣別
TISA級別基金是否有綁約要求？,有24個月的連續扣款期，但非強制綁約
TISA基金委員會的組成成員來自哪裡？,集保結算所邀請的專家學者
TISA制度對於退休規劃的定位是什麼？,作為個人退休準備的第三支柱
元大投信在TISA級別基金中推出了哪些主要商品？,台灣50連結基金、台灣高股息連結基金、台灣高股息優質龍頭基金等
統一投信的TISA級別基金代表作品有哪些？,統一大滿貫基金、統一台灣動力基金
國泰投信在TISA制度中推出了哪些目標日期基金？,泰享退2029、2039、2049目標日期組合基金
保德信投信的TISA級別基金包含哪些？,中小型股基金、高成長基金、新世紀基金、金滿意基金等
安聯投信的TISA級別基金主要有哪些類型？,四季成長組合基金、四季回報債券組合基金等
野村投信在TISA制度中的代表基金有哪些？,台灣高股息基金、全球高股息基金、多元收益多重資產基金等
富邦投信的TISA級別基金有哪些？,精銳中小基金、全球投資等級債券基金等
群益投信推出的TISA樂退系列基金有哪些？,全民成長樂退組合基金、全民安穩樂退組合基金等
兆豐投信的TISA級別基金經理費率是多少？,兆豐國民基金約0.67%
滙豐投信的龍鳳基金TISA級別經理費率是多少？,約0.92%
如何查詢完整的TISA基金清單？,透過集保中心TISA專區或各基金平台查詢
TISA帳戶的開戶流程需要哪些步驟？,選擇銷售機構、填寫開戶申請、身分驗證、簽署相關文件
TISA基金的申購可以隨時停止嗎？,可以，但建議維持24個月以享有完整優惠
TISA基金的淨值查詢方式為何？,透過各銷售平台或集保TISA專區查詢
TISA帳戶是否可以轉換銷售機構？,需依各機構規定，通常需要重新開戶
TISA基金的績效表現如何查詢？,透過集保TISA基金績效頁面或各銷售平台
TISA級別基金的費率優勢有多大？,經理費通常比一般級別減半，申購手續費全免
投資人如何選擇適合的TISA基金？,依據風險承受度、投資期間及理財目標選擇
TISA帳戶的資產查詢功能包含哪些？,歸戶資產餘額、交易明細、基金持有狀況等
TISA制度未來可能納入哪些投資標的？,個股、ETF等產品（目前僅限基金）
