題號,題目,選項A,選項B,選項C,選項D,正確答案
1,根據國泰世華銀行的《2023臺灣全民財務健康關鍵報告》，臺灣民眾的財務健康平均分數是多少？,66.3分,52.8分,65.4分,59.2分,D
2,TISA級別基金的最低申購門檻是多少？,每月500元,"每月1,000元","每月3,000元","每月5,000元",B
3,TISA級別基金需要連續扣款多久才能享有完整優惠？,12個月,18個月,24個月,36個月,C
4,TISA級別基金的經理費率上限是多少？,低於0.5%,低於0.8%,低於1%,低於1.5%,C
5,TISA適格基金需要成立幾年以上才符合資格？,1年,2年,3年,5年,C
6,TISA適格基金的最低規模要求是多少？,新台幣3億元,新台幣5億元,新台幣10億元,新台幣20億元,B
7,TISA制度正式上路的時間是？,2025年6月1日,2025年7月1日,2025年8月1日,2025年9月1日,B
8,負責建置TISA帳戶機制的主管機構是？,金管會,財政部,集保結算所,證交所,C
9,TISA制度在我國退休金體系中屬於第幾支柱？,第一支柱,第二支柱,第三支柱,第四支柱,C
10,股票型基金要進入TISA適格基金清單，夏普比率需要達到多少以上？,大於0.1,大於0.2,大於0.3,大於0.5,B
11,TISA級別基金是否配息？,配息,不配息,部分配息,依基金而定,B
12,TISA級別基金的計價幣別規定是什麼？,可多幣別,僅限美元,僅限新台幣,新台幣或美元,C
13,投資人如果未滿24個月即贖回TISA級別基金，會有什麼限制？,無限制,3個月內不得重新申購,6個月內不得重新申購,12個月內不得重新申購,C
14,根據2025年8月統計，申購金額最高的TISA基金是哪一檔？,統一台灣動力基金,統一大滿貫基金,元大台灣50連結基金,元大高股息連結基金,C
15,TISA制度主要參考了哪個國家的制度？,美國的401k,日本的NISA,英國的ISA,新加坡的CPF,B
16,114年上半年適格發行TISA級別基金共有多少檔？,100檔,120檔,155檔,180檔,C
17,TISA級別基金的申購方式限制為？,僅限單筆申購,僅限定期定額,兩者皆可,依基金而定,B
18,目前有幾家主要平台可以購買TISA級別基金？,2家,4家,6家,8家,B
19,TISA基金委員會的組成來源是？,政府官員,投信業者,專家學者,投資人代表,C
20,R級別基金的最低申購門檻是多少？,"1,000元","2,000元","3,000元","5,000元",C
21,TISA級別基金的申購手續費規定是？,最高3%,最高1%,最高0.5%,完全免收,D
22,股票型及平衡型基金的年化風險係數限制是？,小於20%,小於25%,小於30%,小於35%,B
23,債券型基金的Sharpe Ratio條件是？,大於0.2,大於0.3,同類型前50%,同類型前30%,C
24,TISA基金需要的評等條件包含？,僅需晨星評等,僅需理柏評等,晨星3星以上或理柏3級以上,兩者都必須達到,C
25,TISA適格基金的類別不包含？,股票型,債券型,資產配置型,貨幣市場型,D
26,元大台灣50連結基金在8月的申購金額約為？,3000萬,5000萬,6738萬,8000萬,C
27,TISA級別基金在8月的總規模達到？,1億元,1.4億元,2億元,3億元,B
28,首批推出的TISA級別基金有多少檔？,12檔,16檔,20檔,24檔,B
29,TISA制度8月相比7月的申購額成長約？,2倍,3.6倍,5倍,10倍,B
30,TISA級別基金的單次申購上限通常是？,"5,000元",1萬元或10萬元,20萬元,無限制,B
31,TISA適格基金是否可以多幣別投資？,僅限新台幣,僅限美元,可多幣別,依基金而定,C
32,TISA適格基金的配息選擇包含？,僅月配,僅季配,多種配息選擇,不配息,C
33,TISA級別基金是否有綁約要求？,完全沒有,有24個月期,有36個月期,有60個月期,B
34,兆豐國民基金TISA級別的經理費率約為？,0.5%,0.67%,0.8%,1%,B
35,安聯四季成長組合基金的經理費率約為？,0.65%,0.75%,0.85%,0.95%,B
36,統一台灣動力基金TISA級別的經理費率為？,0.55%,0.65%,0.75%,0.85%,B
37,野村台灣高股息基金屬於哪種類型？,債券型,平衡型,股票型,貨幣型,C
38,國泰泰享退系列目標日期基金包含哪些年份？,2029、2039,2029、2039、2049,2039、2049,2029、2049,B
39,保德信投信推出的TISA級別基金不包含？,中小型股基金,高成長基金,債券基金,新世紀基金,C
40,TISA帳戶查詢平台的主要功能不包含？,資產餘額查詢,交易明細查詢,基金推薦,持有狀況查詢,C
41,TISA制度未來可能納入的投資標的是？,房地產,個股和ETF,期貨,選擇權,B
42,TISA基金的費率優勢主要體現在？,僅經理費降低,僅手續費免收,經理費減半且手續費全免,僅保管費降低,C
43,投資人選擇TISA基金時應考慮的因素不包含？,風險承受度,投資期間,基金名稱長短,理財目標,C
44,TISA級別基金相比一般級別的主要優勢是？,績效更好,風險更低,費用更低,流動性更佳,C
45,TISA制度對於台灣退休金制度的意義是？,取代勞保,取代勞退,補強第三支柱,替代私人保險,C
46,TISA基金委員會的篩選標準主要目的是？,增加業者利潤,確保基金品質,降低投資門檻,提高市場流動性,B
47,TISA制度的長期投資導向體現在？,24個月連續扣款機制,高申購門檻,複雜的贖回程序,限制投資金額,A
48,TISA適格基金的「適格」主要指？,獲利能力強,規模夠大,符合官方篩選標準,投資人數多,C
49,TISA制度推出的主要背景是？,股市上漲,應對高齡化社會,政府財政寬裕,外資大量流入,B
50,TISA帳戶的最大特色是？,高報酬保證,政府補貼,費用優惠與長期投資導向,無風險投資,C
