題目,答案
根據國泰世華銀行的《2023臺灣全民財務健康關鍵報告》，臺灣民眾的財務健康平均分數是多少？,59.2分
TISA帳戶的全名是什麼？,Taiwan Individual Savings Account（台灣個人投資儲蓄帳戶）
TISA級別基金的最低申購門檻是多少？,"每月新台幣1,000元"
TISA級別基金需要連續扣款多久才能享有完整優惠？,連續扣款成功24個月
TISA級別基金的經理費率規定上限是多少？,低於1%（含）以下
TISA適格基金需要成立幾年以上才符合資格？,基金已成立滿三年
TISA適格基金的規模需要達到多少以上？,新台幣5億元以上
TISA級別基金是否配息？,不配息，收益會自動滾入再投資
負責建置TISA帳戶機制的機構是哪一家？,臺灣集中保管結算所（集保結算所）
TISA制度正式上路的時間是？,2025年7月1日
股票型基金要進入TISA適格基金清單，夏普比率需要達到多少以上？,大於0.2
TISA基金委員會的主要職責是什麼？,審定TISA級別基金篩選標準及發行銷售規則
TISA制度在我國退休金體系中屬於第幾支柱？,第三支柱（自願性個人退休準備）
TISA級別基金的計價幣別規定是什麼？,僅限新台幣計價
投資人可以透過哪個平台查詢TISA帳戶資訊？,TISA帳戶查詢平台或集保e手掌握App
